COGs,Human,Algae,Acuatic,Aves,Fish,Fungi,Mamalia,Nematoda,Plants,Reptilia,Soil,Wastewater,Others,RH,NRH,Animals
COG:COG3115,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG2241,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
COG:COG1554,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG1884,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
COG:COG3788,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
COG:COG2508,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
COG:COG0348,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
COG:COG3662,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
COG:COG0562,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG3700,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
COG:COG4268,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
COG:COG0323,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG0540,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
COG:COG1897,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG3006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG2519,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG1100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
COG:COG0736,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG1657,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
COG:COG0143,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
COG:COG1180,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
COG:COG1203,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
COG:COG1887,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1
COG:COG4603,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
COG:COG3866,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG4625,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1
COG:COG1368,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG1380,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1
COG:COG3185,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1
COG:COG3840,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1
COG:COG4555,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1
COG:COG4573,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG1506,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
COG:COG4171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG4566,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
COG:COG3770,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1
COG:COG1402,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
COG:COG1268,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
COG:COG1740,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
COG:COG1253,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG2895,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
COG:COG1783,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1
COG:COG1059,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG0139,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1
COG:COG3309,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1
COG:COG3226,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
COG:COG1025,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG1830,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
COG:COG1985,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
COG:COG0338,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1
COG:COG1227,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG5613,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
COG:COG1401,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG3096,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1
COG:COG0717,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG4647,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
COG:COG3744,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG0202,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG4146,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
COG:COG5455,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG4917,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG1317,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1
COG:COG3920,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
COG:COG4890,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
COG:COG2829,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG3317,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1
COG:COG5640,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG1636,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1
COG:COG4576,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG4577,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG4810,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG4816,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG2978,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG4161,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1
COG:COG0240,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG2948,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG5295,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1
COG:COG0863,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1
COG:COG0495,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
COG:COG4166,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG2145,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
COG:COG3736,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1
COG:COG2382,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1
